method_name,loc,num_params
main,1,1
getIsbn,1,0
getTitle,1,0
getQty,1,0
setQty,1,1
addQty,1,1
getPrice,1,0
addOrder,1,2
cancelOrder,1,1
ejbActivate,1,0
ejbRemove,1,0
ejbPassivate,1,0
setSessionContext,1,1
ejbCreate,1,0
addOrder,1,2
cancelOrder,1,1
create,1,0
backupOrderData,1,0
restoreOrderData,1,0
generateAnalyticsReport,1,0
find,1,1
addItem,1,1
getItems,1,0
removeItem,1,1
clearAll,1,0
updateQty,1,2
finalizeOrder,1,1
cancelOrder,1,1
getInitialContext,1,0
getJNDIContext,1,0
setCustname,1,1
getCustname,1,0
setPhoneno,1,1
getPhoneno,1,0
setPassword,1,1
getPassword,1,0
setEmail,1,1
getEmail,1,0
isValid,1,0
updatePassword,1,1
registerUser,1,0
clean,1,2
getConnection,1,0
getInitialContext,1,0
getIsbn,1,0
getTitle,1,0
getQty,1,0
setQty,1,1
addQty,1,1
getPrice,1,0
getUserid,1,0
setUname,1,1
getUname,1,0
setPwd,1,1
getPwd,1,0
setEmail,1,1
getEmail,1,0
setAddress,1,1
getAddress,1,0
setPhone,1,1
getPhone,1,0
login,1,0
updateProfile,1,1
registerUser,1,0
isLogged,1,0
getNextUserid,1,1
clean,1,2
getConnection,1,0
windowActivated,1,1
windowDeactivated,1,1
windowIconified,1,1
windowDeiconified,1,1
windowClosing,1,1
windowClosed,1,1
windowOpened,1,1
main,1,1
actionPerformed,1,1
doPost,1,2
getDBConnection,1,0
doPost,1,2
check,1,2
checkvote,1,1
doPost,1,2
service,1,2
doPost,1,2
doPost,1,2
service,1,2
checkLogin,1,1
selectMenu,3,0
mainLoop,1,0
selectionCheck,1,1
userLogin,3,0
loginCheck,1,1
userLogout,1,0
chooseEditStaffMode,3,0
addNewStaff,1,0
generateID,1,0
updateStaff,1,0
deleteStaff,1,0
selectOrderMenu,3,0
showOrderList,1,0
createOrder,1,0
updateOrder,1,0
editOrderItem,1,1
addNewOrderItem,1,1
deleteOrderItem,1,1
closeOrder,1,0
cancelOrder,1,0
findOrder,1,0
chooseEditMenuItemMode,3,0
generateMenuID,1,0
addNewMenuItem,1,0
updateMenuItem,1,0
deleteMenuItem,1,0
showMenuList,3,0
showStaffList,1,0
printMessageToView,1,1
printErrorMessageToView,1,1
pause,1,1
generateReports,3,0
generateSalesReports,1,0
generatePaymentReports,1,0
setErrorMessage,1,1
getErrorMessage,1,0
getTodaysOrderCnt,1,0
getTodaysCancelCnt,1,0
getTotalSales,1,0
getCancelTotal,1,0
getOrderTotalCharge,1,1
getOrderState,1,1
getCurrentUserName,1,0
checkIfUserClockedOut,1,0
